time	accX	accY	accZ	pitch	roll	yaw							
0.05	0.01870728	-0.001266479	-0.9897614	-0.003119618	-0.000701208	-0.000956453							
0.1	0.01766968	-0.003250122	-0.9897919	-0.01055569	-0.007810829	0.003565242							
0.15	0.01582336	0.000610352	-0.991806	-0.000713312	0.001692785	0.000235375							
0.2	0.01475525	0.001617432	-0.9879608	-0.01659584	-0.003081363	0.001260528							
0.25	0.01879883	0.001617432	-0.9917297	-0.01409057	-0.007857784	-0.001082925							
0.3	0.01571655	-0.001296997	-0.9888763	-0.003079572	-0.01261101	-0.002221888							
0.35	0.01582336	0.003601074	-0.9879456	-0.01274896	-0.006707388	-0.005692635							
0.4	0.01280212	0.000595093	-0.9899445	-0.001747171	0.000439163	-0.006723952							
0.45	0.01473999	0.002624512	-0.9860077	-0.000648258	-0.003086891	-0.002122413							
0.5	0.01571655	0.001663208	-0.9859924	0.002952827	-0.00782044	0.000168313							
0.55	0.0148468	0.00453186	-0.9889374	0.000180895	0.0184619	0.01196036							
0.6	0.01382446	0.001586914	-0.9899292	-0.001819412	-0.006728234	-0.005646252							
0.65	0.01654053	-0.002212524	-0.9879761	-0.008192349	-0.01140465	0.004687816							
0.7	0.01557922	-0.004196167	-0.9929199	0.000527339	-0.006693352	-0.002162491							
0.75	0.0128479	0.001541138	-0.9899902	-0.008216329	-0.009040909	0.00469981							
0.8	0.0158844	0.004547119	-0.9879608	-0.004312444	-0.005548682	-0.004502365							
0.85	0.01779175	0.001617432	-0.98703	0.03226355	0.04448021	-0.005002164							
0.9	0.0173645	-0.006057739	-0.9860382	0.02133441	0.0432413	-0.007396712							
0.95	0.01982117	-0.005340576	-0.9928284	0.005349945	0.04920839	-0.002803633							
1	0.02331543	-0.005996704	-0.9880219	0.0103572	0.008723368	-0.006614227							
1.05	0.02468872	-0.001251221	-0.9860077	-0.005176671	-0.00085262	-0.01718397							
1.1	0.01678467	-0.004333496	-0.9888611	-0.03792143	-0.02434549	0.02175578							
1.15	0.03573608	-0.02742004	-0.9859772	-0.003748812	-0.01240304	0.02089686							
1.2	0.004089355	-0.1110077	-0.9859467	-0.008121469	0.01211908	0.09399669							
1.25	0.01269531	-0.1587677	-0.98703	0.01679112	-0.004624446	0.2119886							
1.3	0.02729797	-0.133255	-0.9879761	-0.003182551	0.000624561	0.1378826							
1.35	-0.03123474	-0.1269073	-0.9918823	0.01571359	0.02431773	0.1162359							
1.4	-0.01670837	-0.09237671	-0.9879761	-0.01261693	-0.01141323	-0.1457083							
1.45	0.03544617	-0.02323914	-0.9929199	0.004780118	0.05198226	-0.2491449							
1.5	0.003189087	-0.04908752	-0.9899902	-0.04932735	0.01361134	-0.1410436							
1.55	0.03547668	-7.63E-05	-0.9879608	-0.08858907	0.04259306	-0.08778054							
1.6	0.08059692	0.03884888	-0.98703	-0.04553408	0.02550878	-0.1455246							
1.65	-0.01550293	0.06230164	-0.9860382	-0.05934445	-0.009613888	0.05191214							
1.7	0.1038971	-0.1089935	-0.9928284	0.03895913	-0.07674298	-0.0187233							
1.75	0.01000977	-0.01579285	-0.9880219	0.04524948	-0.0266678	0.383229							
1.8	-0.1068878	-0.02113342	-0.9860077	-0.09147836	0.03457067	0.2037041							
1.85	0.05778503	0.07872009	-0.9888611	-0.03253676	-0.005279913	-0.2648811							
1.9	0.02854919	-0.005493164	-0.9859772	0.01566837	-0.02988571	0.03129536							
1.95	0.09689331	-0.01921082	-0.9859467	-0.0536158	-0.005867349	0.06699324							
2	-0.04272461	0.03015137	-0.98703	-0.01003857	0.02917866	-0.01227378							
2.05	-0.05743408	0.07757568	-0.9879761	0.06741355	-0.0113585	-0.03310416							
2.1	0.04180908	0.1157532	-0.9918823	-0.007698616	-0.01132428	-0.2799436							
2.15	-0.005264282	0.06549072	-0.984024	0.008759108	-0.01465975	-0.2567442							
2.2	0.0599823	0.1518707	-0.9967651	-0.026217	-0.02283243	-0.3611698							
2.25	0.0177002	0.09617615	-0.99086	0.02253448	-0.03134961	0.004607994							
2.3	0.02876282	0.1260223	-0.9890137	-0.02803186	-0.005522405	-0.1574061							
2.35	0.04614258	0.1477203	-0.9888763	-0.04838261	-0.01872457	-0.03500625							
2.4	0.02212524	0.1104889	-0.9879456	-0.03694524	-0.01410412	-0.05225465							
2.45	0.02178955	0.0506897	-0.9899445	-0.002813244	0.000272287	0.08342206							
2.5	0.02027893	0.02418518	-0.9860077	-0.0367343	-0.01413395	0.07500444							
2.55	0.007461548	-0.01473999	-0.9859924	-0.02308962	-0.003894734	0.02079807							
2.6	0.0198822	0.06163025	-0.9889374	0.09670489	-0.0743131	0.2406371							
2.65	0.02494812	0.008483887	-0.9899292	-0.007965414	0.004291041	0.002445383							
2.7	0.01791382	0.005523682	-0.983017	0.005583799	-0.001676781	-0.002160942							
2.75	0.01597595	0.007476807	-0.9859467	0.003118127	-0.00643066	-0.001060894							
2.8	0.0168457	0.005554199	-0.9918976	-0.001792796	-0.004048242	9.03E-05							
2.85	0.01283264	0.00453186	-0.9898987	-0.002923553	0.00424753	-0.003311407							
2.9	0.0128479	0.004516602	-0.9880371	-0.001917566	0.003131516	0.004782203							
2.95	0.01579285	0.002609253	-0.9879456	0.003153037	-0.000494347	-0.002164189							
3	0.01567078	0.002685547	-0.9821014	-0.001692119	-0.001702572	-0.003358692							
3.05	0.01402283	0.003463745	-0.9967194	-0.01172476	-0.006543415	0.006879935							
3.1	0.01773071	0.003662109	-0.9849548	-0.007873045	-0.01255091	-9.47E-05							
3.15	0.01087952	0.004501343	-0.9880829	-0.008035557	-0.002978935	0.005775546							
3.2	0.01480103	0.003601074	-0.9869843	-0.00040481	-0.005452232	-0.005773617							
3.25	0.01486206	0.00553894	-0.9879761	-0.004124884	-0.005436896	-0.003480497							
3.3	0.01101685	0.005432129	-0.9929199	-0.006906468	-0.00413583	0.009241574							
3.35	0.01293945	0.006454468	-0.9899902	0.006687542	0.006533071	0.00247195							
3.4	0.01481628	0.003585815	-0.9879608	0.00330783	0.006433941	-0.007959775							
3.45	0.01383972	0.004547119	-0.98703	-0.006748646	-0.005377534	0.003446177							
3.5	0.01376343	0.002609253	-0.9860382	-0.000552336	-0.01134922	-4.43E-05							
3.55	0.01603699	0.008422852	-0.9928284	-0.004079465	-0.01972729	-0.004767843							
3.6	0.01277161	0.001586914	-0.9880219	-0.01172058	-0.005352331	0.006889209							
3.65	0.01582336	0.005584717	-0.9860077	0.003067055	-0.000621888	0.001229593							
3.7	0.01785278	0.005554199	-0.9888611	-0.01044983	0.003997316	0.004595258							
3.75	0.01679993	0.005584717	-0.9859772	0.003195788	-0.009144919	-0.003546666							
3.8	0.01664734	-0.000289917	-0.9859467	-0.001649876	-0.01273334	-0.00476337							
3.85	0.01387024	0.00553894	-0.98703	0.00190907	-0.000874237	-0.00120716							
3.9	0.01591492	0.007507324	-0.9879761	0.01381184	0.01589866	0.009422998							
3.95	0.01393127	0.004486084	-0.9918823	0.008009057	-0.003245065	-0.001195184							
4	0.01673889	0.004623413	-0.984024	0.000668956	-0.00687346	-0.000147129							
4.05	0.01303101	0.00440979	-0.9967651	-0.001681319	-0.002147943	-0.003588077							
4.1	0.01487732	0.003555298	-0.99086	0.000694722	-0.00093368	-0.001250481							
4.15	0.01290894	0.006454468	-0.9890137	0.000652781	0.001490255	0.00222797							
4.2	0.01097107	0.003479004	-0.9929047	-0.000499505	-0.005672509	-0.000157047							
4.25	0.0168457	0.003585815	-0.9898529	-0.007659855	-0.008116233	-0.006003637							
4.3	0.01281738	0.002548218	-0.9889832	-0.006644906	0.000317055	0.003321885							
4.35	0.01289368	0.005493164	-0.9889984	0.003077992	0.003913239	0.004565153							
4.4	0.0128479	0.004516602	-0.9880371	0.00444561	-0.009186205	0.000973905							
4.45	0.01586914	0.007537842	-0.9860229	-0.002949151	0.007483765	0.003398061							
4.5	0.009811401	0.002548218	-0.9871216	0.002190741	-0.008061999	-0.005969769							
4.55	0.01292419	0.004470825	-0.9919128	0.005764737	-0.00203819	-0.001276887							
4.6	0.016922	0.006484985	-0.9908447	0.000942805	0.003883695	-0.003563893							
4.65	0.01478577	0.002593994	-0.9879608	-0.000247757	0.005061512	-0.004716905							
4.7	0.01895142	0.007492065	-0.9917603	0.009534234	-0.01035765	-0.003653677							
4.75	0.01376343	0.001617432	-0.9870148	-0.000222303	-0.01156163	-0.003718802							
4.8	0.01382446	0.002563477	-0.9879761	-0.005114006	0.002710863	-0.003616436							
4.85	0.01390076	0.005508423	-0.9929199	0.005497956	0.000503263	0.01145527							
4.9	0.01593018	0.006500244	-0.9899902	0.002182685	-0.0031865	-0.001322746							
4.95	0.01387024	0.004516602	-0.9879608	0.001209019	-0.00089092	-0.01056271							
5	0.01576233	0.00163269	-0.98703	0.003431061	0.006356998	-0.001237446							
5.05	0.01287842	0.007492065	-0.9860382	-0.002504755	-0.002035102	-0.007130871							
5.1	0.01690674	0.006500244	-0.9928284	0.00121514	-0.000860088	-0.009413881							
5.15	0.0168457	0.006530762	-0.9880219	0.001098861	-0.006737163	-0.003691355							
5.2	0.01293945	0.006454468	-0.9860077	0.00946544	0.0111787	0.002301735							
5.25	0.01591492	0.007507324	-0.9888611	0.001160439	-0.006757837	-0.006005343							
5.3	0.01187134	0.004501343	-0.9859772	-0.001275175	-0.01506268	-0.004944668							
5.35	0.01782227	0.002593994	-0.9859467	-0.002654217	-0.01025248	0.000876084							
5.4	0.0138092	0.002578735	-0.98703	-0.005101062	-0.00192559	0.000938013							
5.45	0.01283264	0.003555298	-0.9879761	-0.000318827	-0.000665916	0.005596283							
5.5	0.01385498	0.001556396	-0.9879761	0.004553664	0.006481756	0.005687752							
5.55	0.016922	0.00352478	-0.9929199	-0.008789016	-0.00665019	0.003180836							
5.6	0.01580811	0.002593994	-0.9899902	0.002080622	0.008869234	0.006852653							
5.65	0.008865356	0.001525879	-0.9879608	-0.003758033	-0.00431317	-0.002554856							
5.7	0.0128479	0.006500244	-0.98703	-0.007504804	-0.01023802	0.000841393							
5.75	0.01472473	0.004608154	-0.9860382	-0.003755898	-0.0066936	-0.002576651							
5.8	0.01063538	0.003692627	-0.9928284	0.05290373	0.006704414	0.02215406							
5.85	0.01106262	0.004394531	-0.9880219	-0.01601576	-0.004309842	-0.000309447							
5.9	0.03381348	0.08488464	-0.9860077	0.01097419	-0.03127001	0.04008677							
5.95	-0.02236938	0.1881409	-0.9888611	-0.003446175	-0.02857601	0.07705235							
6	-0.04283142	0.217514	-0.9859772	-0.008421575	0.02187213	0.2614319							
6.05	-0.05467224	0.1053009	-0.9859467	-0.007585058	0.01366124	0.0045185							
6.1	-0.08494568	0.061203	-0.98703	-0.05015018	0.03812571	-0.04640049							
6.15	0.1233521	0.1456757	-0.9879761	0.00196452	-0.009315463	-0.1691748							
6.2	0.03572083	0.05378723	-0.9918823	0.0669379	0.001425231	-0.04492701							
6.25	0.08421326	0.08258057	-0.984024	-0.02082234	-0.00275497	-0.2294016							
6.3	-0.1147919	0.1100006	-0.9967651	0.003278716	-0.03620677	0.1464254							
6.35	-0.01608276	0.1279449	-0.9879761	-0.04876092	-0.01656584	0.2215144							
6.4	0.000686646	0.004241943	-0.9929199	-0.05505645	-0.1338769	0.2771037							
6.45	-0.09185791	-0.01708984	-0.9899902	-0.0735526	0.02439098	0.2807511							
6.5	0.01873779	-0.06227112	-0.9879608	0.02081503	-0.0216483	0.1744205							
6.55	0.087677	0.03883362	-0.98703	-0.00167592	0.03711398	-0.03457229							
6.6	0.01600647	-0.03897095	-0.9860382	0.05166007	-0.01261423	0.1156707							
6.65	0.008865356	0.08175659	-0.9928284	-0.03585397	0.06795689	-0.1709986							
6.7	0.02255249	-0.03430176	-0.9880219	0.01688799	-0.02357767	0.09339643							
6.75	-0.0160675	-0.01951599	-0.9860077	0.02464495	0.04057404	0.2120271							
6.8	0.008163452	-0.04074097	-0.9888611	0.01434004	-0.01910805	0.3248057							
6.85	0.03666687	-0.006164551	-0.9859772	0.05995703	-0.02322886	0.1248751							
6.9	0.02745056	-0.03620911	-0.9859467	0.002176531	-0.1029632	-0.1295333							
6.95	-0.04402161	-0.1632385	-0.98703	0.05051256	-0.04924631	-0.2502537							
7	-0.003295898	-0.3000793	-0.9879761	0.02032102	-0.02637867	-0.2166635							
7.05	0.03781128	-0.1786041	-0.9918823	-0.0343347	-0.00427416	-0.2700061							
7.1	0.03083801	-0.04141235	-0.984024	-0.04913157	-0.02167671	-0.2181851							
7.15	0.02923584	0.01560974	-0.9967651	0.05679031	-0.1138339	-0.1629023							
7.2	-0.001296997	0.007537842	-0.99086	0.004566703	-0.03739278	0.008724958							
7.25	0.006011963	0.003417969	-0.9890137	-0.002358131	0.008861142	-0.007090374							
7.3	0.005981445	0.002426147	-0.993042	0.00592907	0.01133804	0.002233227							
7.35	0.007888794	0.004470825	-0.9881592	-0.001288715	0.00296521	-0.001353668							
7.4	0.004974365	0.003433228	-0.9911346	0.003561169	0.000603986	-0.0001913							
7.45	0.007766724	0.001571655	-0.9861908	-0.002492737	-0.01250425	-0.001500854							
7.5	0.008087158	0.008331299	-0.9930267	-0.0108304	0.007641125	-0.009463026							
7.55	0.007965088	0.005447388	-0.990097	-0.00388409	0.008967528	0.004470286							
7.6	0.009887695	0.005493164	-0.9871368	-0.003884363	0.008969809	0.004470169							
7.65	0.007843018	0.0025177	-0.9881439	0.003401072	0.01137359	0.005689505							
7.7	0.008926392	0.007446289	-0.9862061	-0.002693556	0.007795374	0.005623042							
7.75	0.01293945	0.006454468	-0.9899902	-0.002351805	0.006490911	-0.007113087							
7.8	0.009048462	0.007369995	-0.9920349	0.003469638	0.004216054	0.003310367							
7.85	0.009918213	0.00843811	-0.9861908	0.002467417	0.004141231	-0.004794244							
7.9	0.008041382	0.006362915	-0.9930115	-0.000115382	-0.01009191	0.000846883							
7.95	0.006912231	0.003479004	-0.9891357	-0.002491244	-0.01130623	-0.001491426							
8	0.006912231	0.003479004	-0.9891357	-0.002491244	-0.01130623	-0.001491426							
8.05	0.01168823	0.002639771	-0.9822083	0.006004342	0.001807639	-0.00016859							
8.1	0.01168823	0.002639771	-0.9822083	0.006004342	0.001807639	-0.00016859							
8.150001	0.01278687	0.004562378	-0.9851074	-0.001208191	0.004216977	-0.002557499							
8.2	0.01278687	0.004562378	-0.9851074	-0.001208191	0.004216977	-0.002557499							
